id,hook_id,archetype,duration_sec,aspect_ratio,full_script,cta,audience
S01,H03,mentor_male_50s,30,9:16,"Eighty-seven percent of Australian renters think they need a twenty percent deposit to buy a home. Most of them are wrong. I've been helping families get into their first home for over a decade, and the truth is — there are pathways the big banks just don't talk about. If you're renting right now and you've assumed you're locked out, it's worth checking before you sign another lease.","See if you qualify — link in bio.",renters_25_45_national
S02,H05,relatable_woman_late_20s,28,9:16,"Six months ago my mate Alan was renting a unit and feeling completely stuck. Today he picked up the keys to his own home. He didn't win the lottery. He didn't get an inheritance. He just found out about a pathway most renters have never heard of. If you've been told you can't own a home — it might be worth a second opinion.","Tap the link to check your options.",renters_25_45_national
S03,H11,confident_woman_30s,32,9:16,"Quick maths. Your rent this year: around twenty-six thousand dollars. Your equity from that: zero. Now imagine if a chunk of what you're already paying every week went toward a home with your name on the title instead of your landlord's. That's not a fantasy — that's a real pathway for eligible Australian renters. Worth sixty seconds to find out if it fits your situation.","See if you qualify — link in bio.",renters_25_45_national
S04,H17,mum_late_30s,30,9:16,"My kids asked me last weekend when we'd have a backyard of our own. I didn't have an answer for them. I'd given up — I genuinely thought we'd be renting forever. Then a friend told me about Homeowner Assist. I won't make any promises, but it's the first time in years I've felt like there's actually a way forward. If you're a parent stuck in the rental cycle, just have a look.","Link in bio — see if there's a pathway for your family.",renters_parents_30_45
S05,H08,tradie_male_30s,25,9:16,"Everyone tells renters the same thing — just save harder, cut the smashed avo, get a second job. Mate, that advice is broken. Wages aren't keeping up with rent, let alone house prices. The good news is there are actual pathways now that aren't about saving harder for ten more years. Worth thirty seconds to look into.","Check it out — link in bio.",renters_male_25_40
S06,H13,mentor_male_50s,30,9:16,"There's a pathway most Australian renters have never heard about, and most banks won't bring it up because it's not their product. It's helping eligible renters move into home ownership without the traditional twenty percent deposit barrier. I'm not saying it's right for everyone — but if you're renting and you've assumed the door is closed, it might not be. Worth a look.","See if you qualify — link in bio.",renters_25_45_national
S07,H20,relatable_woman_late_20s,28,9:16,"You don't need rich parents. You don't need a six-figure salary. You don't need a perfect credit history. What most renters need is just to know this option exists. Homeowner Assist works with eligible Australians who've been told they can't buy. If that's been you — it's worth sixty seconds to check.","Tap the link to see your options.",renters_25_35_national
S08,H24,mentor_male_50s,32,9:16,"If you've just been knocked back by a bank — please don't give up. A bank rejection isn't the end of the road. There are pathways for renters that don't run through the big four, and a lot of the people we help have been turned down before. It costs nothing to find out if you qualify, and a few minutes today could change a few years from now.","Link in bio — see if there's a pathway for you.",renters_post_rejection
S09,H22,confident_woman_30s,30,9:16,"Every year you keep renting, house prices move further away. Wages aren't catching up. Saving harder isn't catching up. The only thing that breaks the cycle is finding a different pathway in. Homeowner Assist helps eligible Aussies do exactly that. I'm not promising anything — just saying it's worth checking before another year goes by.","See if you qualify — link in bio.",renters_25_40_national
S10,H29,mum_late_30s,28,9:16,"Renters in New South Wales and Queensland — before you sign your next lease, there's a programme worth knowing about. It's helping eligible Australian renters move into home ownership without needing a twenty percent deposit. It might not suit everyone, but if you've been stuck in the rental cycle, it's genuinely worth the sixty seconds.","Link in bio — find out if it fits your situation.",renters_nsw_qld_25_45
